Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query""",24,0.0017344612149178117,263879,19.07032878880405
code[3489],10,0.0007226921728824216,263855,19.068594327589135
code[486],484,0.034978301167509204,263845,19.067871635416253
code[1],25465,1.8403356182450865,263361,19.032893334248744
table[0],6,0.0004336153037294529,243120,17.570092107117432
elem[0],1325,0.09575671290692087,243114,17.569658491813705
data[0],188646,13.63329876455773,188646,13.63329876455773
code[0],43955,3.176593445904684,68747,4.968291880914784
code[2],22364,1.616228775434248,54662,3.9503799554098933
code[8],10370,0.7494317832790711,49041,3.5441546850326833
"export ""canister_query icydb_snapshot""",33,0.002384884170511991,35221,2.545394102109177
code[3488],10,0.0007226921728824216,35188,2.5430092179386654
code[485],484,0.034978301167509204,35178,2.5422865257657827
code[7],12222,0.8832743736968957,34694,2.5073082245982734
code[3],17848,1.289860990160546,33346,2.409889319693723
code[38],3928,0.28387348550821523,32526,2.3506285615173645
code[11],8135,0.58791008263985,28186,2.0369801584863936
code[6],12180,0.8802390665707895,24155,1.7456629435974893
code[5],12393,0.8956324098531852,23756,1.7168275258994807
code[28],4984,0.3601897789645989,21208,1.5326855602490397
code[30],4521,0.3267291313601428,19607,1.416982543370564
"export ""get_candid_pointer""",22,0.0015899227803413273,19152,1.3841000495044138
code[3491],9,0.0006504229555941794,19130,1.3825101267240725
code[44],3729,0.269491911267855,19121,1.3818597037684783
code[381],584,0.04220522289633342,17777,1.284729875733081
code[108],1918,0.13861235875884845,17569,1.2696978785371265
code[77],2555,0.1846478501714587,17193,1.2425246528367473
code[766],309,0.022331188142066825,16224,1.1724957812844408
code[4],13965,1.0092396194303017,15915,1.150164593142374
code[9],8984,0.6492666481175676,15267,1.103334140339593
code[19],5225,0.37760666033106527,14799,1.0695121466486956
code[10],9457,0.6834499878949061,13941,1.0075051582153838
code[53],3192,0.230683341584069,13872,1.0025185822224951
"export ""canister_query icydb_metrics""",32,0.0023126149532237492,13828,0.9993387366618126
code[3487],9,0.0006504229555941794,13796,0.9970261217085888
code[15],6616,0.4781331415790101,13787,0.9963756987529947
code[515],425,0.03071441734750292,13586,0.9818495860780581
code[128],1653,0.1194610161774643,12666,0.9153619061728753
code[158],1399,0.10110463498625077,11323,0.818304347354766
code[12],7933,0.573311700747625,9307,0.6726096053016698
