Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query_ten_entity_fluent_rows""",47,0.002397812378833949,601958,30.710262636981412
code[4912],9,0.0004591555619043732,601911,30.707864824602577
code[11],10870,0.5545578842111707,600373,30.629400240801587
code[8],12918,0.6590412831867436,368222,18.7856865906169
code[4],15324,0.7817888700691795,255796,13.050017345876782
code[318],1143,0.0583127563618554,213550,10.894741138297654
code[21],8944,0.4562985939636349,212407,10.8364283819358
table[0],6,0.0003061037079362488,198095,10.106269003938534
elem[0],1168,0.05958818847825643,198089,10.1059629002306
code[20],8892,0.4536456951615207,192058,9.798277656470011
code[6],14133,0.7210272840438341,175823,8.970012040079178
code[65],4971,0.25360692202518215,170726,8.709976940187335
code[12],10498,0.5355794543191233,164771,8.406169010060609
code[479],699,0.03566108197457298,161909,8.260157541375019
code[418],788,0.04020162030896068,124304,6.341652551884579
code[31],7182,0.36640613839968983,124165,6.334561149317389
code[2],18514,0.9445340081219518,122574,6.253392649429627
data[0],120466,6.145848213374691,120466,6.145848213374691
code[13],10390,0.5300695875762709,115026,5.868314184845826
code[0],35196,1.7956043507540356,112858,5.757708711711528
code[1004],378,0.019284533599983673,88924,4.536661020753831
code[24],8765,0.4471665000102034,88546,4.5173764871538475
code[25],8765,0.4471665000102034,69256,3.5332530661388075
code[23],8981,0.45818623349590837,49933,2.547446074730119
code[1072],311,0.015866375528028897,45118,2.3017978491112787
code[448],773,0.03943636103912005,44807,2.28593147358325
code[1],27593,1.4077199355141523,44034,2.24649511254413
code[34],6701,0.34186682448013384,43816,2.235373344489113
code[100],3347,0.17075485174377078,42349,2.1605309878987002
code[333],1039,0.05300695875762708,38712,1.9749811236046773
code[7],12411,0.6331755198661306,38258,1.9518192763708344
code[61],5409,0.27595249270452826,37673,1.92197416484705
code[102],3175,0.16197987878293166,36869,1.880956267983593
code[17],8731,0.4454319123318981,36111,1.8422851662143132
code[27],8003,0.40829132910229987,35390,1.8055017039773076
code[3],15294,0.7802583515294982,34434,1.756729179846132
code[347],990,0.05050711180948106,33483,1.7082117421382363
code[69],4327,0.22075179070669143,32493,1.6577046303287553
code[32],7143,0.3644164642981042,31302,1.5969430443034098
code[1771],169,0.008621921106871008,29370,1.4983776503479378
